PDB,Ligand,Chain,Number,Resolution(A),Ligand Occupation Factor,Ki(M),log(Ki),pKi,RMSD(A),Torsions,Q,Average Q,Ligand B-factor(A2),Receptor B-factor(A2),B-factor ratio (Ligand/Receptor),C,N,O,P,S,F,Cl,Br,Affinity(kcal/mol),Gauss 1,Gauss 2,Repulsion,Hydrophobic,Hydrogen,Torsional
5J2R, lig_1,  153788,  8,  2.0,  1.0, 1.1000000000000001e-10, -9.958607314841775, 9.958607314841775, 2.451,   7,  0.9969999999999999,  0.030212121212121208,  0.0,  36.096985865724356,  0.0,  18,  5,  4,  0,  2,  0,  0,  0,  -8.055,  76.728,  1443.141,  1.155,  20.361,  1.743,  0.9030899869919435
F3Z5, lig_2,  153789,  8,  2.0,  1.0, 5.200000000000001e-10, -9.2839966563652, 9.2839966563652, 3.218,   2,  0.9990000000000001,  0.03842307692307693,  0.0,  36.096985865724356,  0.0,  16,  5,  1,  0,  1,  0,  0,  0,  -9.085,  59.342,  1247.117,  1.52,  24.275,  2.794,  0.47712125471966244
DBFW, lig_3,  153783,  8,  2.0,  1.0, 1.6000000000000003e-09, -8.795880017344075, 8.795880017344075, 3.111,   3,  1.003,  0.03343333333333333,  0.0,  36.096985865724356,  0.0,  16,  5,  2,  0,  2,  0,  0,  0,  -8.393,  70.753,  1288.606,  2.139,  11.629,  2.899,  0.6020599913279624
E8MH, lig_4,  50519896,  8,  2.0,  1.0, 2e-09, -8.698970004336019, 8.698970004336019, 3.414,   4,  0.0009999999999998899,  3.4482758620685855e-05,  0.0,  36.096985865724356,  0.0,  14,  6,  2,  0,  1,  0,  0,  0,  -8.435,  65.416,  1311.989,  1.447,  21.376,  2.296,  0.6989700043360189
17E9, lig_5,  50579853,  8,  2.0,  1.0, 2e-09, -8.698970004336019, 8.698970004336019, 3.414,   4,  0.0009999999999998899,  3.4482758620685855e-05,  0.0,  36.096985865724356,  0.0,  14,  6,  2,  0,  1,  0,  0,  0,  -8.435,  65.416,  1311.989,  1.447,  21.376,  2.296,  0.6989700043360189
7KCQ, lig_6,  153780,  8,  2.0,  1.0, 2.4e-09, -8.619788758288394, 8.619788758288394, 3.596,   4,  1.002,  0.0313125,  0.0,  36.096985865724356,  0.0,  15,  6,  2,  0,  2,  0,  0,  0,  -8.227,  64.499,  1329.949,  1.241,  15.554,  1.441,  0.6989700043360189
U2MX, lig_7,  51488914,  8,  2.0,  1.0, 3.0000000000000004e-09, -8.522878745280337, 8.522878745280337, 5.497,   7,  1.0010000000000001,  0.028600000000000004,  0.0,  36.096985865724356,  0.0,  18,  5,  4,  0,  1,  2,  0,  0,  -7.496,  61.012,  1373.404,  1.011,  23.084,  1.259,  0.9030899869919435
ZO43, lig_8,  50948457,  8,  2.0,  1.0, 3.4000000000000003e-09, -8.468521082957745, 8.468521082957745, 2.497,   5,  1.0,  0.02702702702702703,  0.0,  36.096985865724356,  0.0,  25,  6,  1,  0,  0,  0,  0,  0,  -9.207,  64.788,  1570.305,  0.551,  31.439,  0.675,  0.7781512503836436
DJBU, lig_9,  153784,  8,  2.0,  1.0, 7.6e-09, -8.119186407719209, 8.119186407719209, 3.277,   4,  1.0020000000000002,  0.032322580645161296,  0.0,  36.096985865724356,  0.0,  17,  5,  2,  0,  2,  0,  0,  0,  -8.087,  60.176,  1306.205,  0.83,  18.2,  1.329,  0.6989700043360189
RRQB, lig_10,  153782,  8,  2.0,  1.0, 2.6e-08, -7.585026652029182, 7.585026652029182, 2.971,   4,  0.9989999999999999,  0.031218749999999997,  0.0,  36.096985865724356,  0.0,  15,  6,  2,  0,  2,  0,  0,  0,  -8.501,  63.0,  1331.355,  1.387,  13.503,  2.839,  0.6989700043360189
DGYM, lig_11,  153790,  8,  2.0,  1.0, 2.8000000000000003e-08, -7.552841968657781, 7.552841968657781, 3.202,   3,  -0.0029999999999998916,  -0.00010714285714285327,  0.0,  36.096985865724356,  0.0,  16,  5,  3,  0,  1,  0,  0,  0,  -8.567,  59.083,  1348.145,  0.779,  21.58,  0.852,  0.6020599913279624
IWZ3, lig_12,  50579846,  8,  2.0,  1.0, 3.2e-08, -7.494850021680094, 7.494850021680094, 4.664,   6,  1.0010000000000001,  0.030333333333333337,  0.0,  36.096985865724356,  0.0,  19,  6,  1,  0,  1,  0,  0,  0,  -7.848,  75.779,  1226.086,  2.132,  27.205,  3.549,  0.8450980400142568
AAIG, lig_13,  153781,  8,  2.0,  1.0, 3.3000000000000004e-08, -7.481486060122112, 7.481486060122112, 5.866,   4,  1.0,  0.03125,  0.0,  36.096985865724356,  0.0,  16,  6,  2,  0,  2,  0,  0,  0,  -8.114,  57.687,  1306.565,  1.198,  9.757,  2.551,  0.6989700043360189
NOXY, lig_14,  51041256,  8,  2.0,  1.0, 3.8e-08, -7.42021640338319, 7.42021640338319, 3.445,   5,  0.9980000000000002,  0.03441379310344828,  0.0,  36.096985865724356,  0.0,  17,  4,  2,  0,  2,  0,  0,  0,  -8.083,  73.907,  1265.815,  2.47,  36.49,  2.891,  0.7781512503836436
880V, lig_15,  51267902,  8,  2.0,  1.0, 4e-08, -7.3979400086720375, 7.3979400086720375, 2.589,   5,  1.0009999999999997,  0.03229032258064515,  0.0,  36.096985865724356,  0.0,  21,  1,  5,  0,  0,  0,  0,  0,  -9.082,  59.714,  1455.249,  1.113,  28.984,  1.35,  0.7781512503836436
QSI5, lig_16,  153785,  8,  2.0,  1.0, 4.7000000000000004e-08, -7.327902142064283, 7.327902142064283, 2.801,   5,  0.9999999999999998,  0.030303030303030297,  0.0,  36.096985865724356,  0.0,  16,  6,  2,  0,  2,  0,  0,  0,  -8.275,  66.02,  1400.399,  1.529,  17.192,  2.335,  0.7781512503836436
5FWD, lig_17,  50910157,  8,  2.0,  1.0, 6.2e-08, -7.2076083105017466, 7.2076083105017466, 3.426,   4,  2.7755575615628914e-17,  1.02798428206033e-18,  0.0,  36.096985865724356,  0.0,  15,  5,  2,  0,  0,  0,  0,  0,  -7.465,  54.902,  1209.103,  0.661,  18.991,  0.903,  0.6989700043360189
TVWJ, lig_18,  50910188,  8,  2.0,  1.0, 7.6e-08, -7.119186407719209, 7.119186407719209, 3.814,   4,  0.0019999999999999185,  7.407407407407105e-05,  0.0,  36.096985865724356,  0.0,  15,  5,  2,  0,  0,  0,  0,  0,  -7.657,  46.771,  1189.78,  0.768,  32.926,  1.306,  0.6989700043360189
U8TF, lig_19,  184848,  8,  2.0,  1.0, 8e-08, -7.096910013008056, 7.096910013008056, 3.262,   1,  -1.0,  -0.041666666666666664,  0.0,  36.096985865724356,  0.0,  16,  3,  3,  0,  0,  0,  0,  0,  -9.279,  56.337,  1154.102,  1.05,  45.24,  1.356,  0.3010299956639812
MLEK, lig_20,  50839928,  8,  2.0,  1.0, 8.9e-08, -7.050609993355087, 7.050609993355087, 2.837,   3,  -4.163336342344337e-17,  -1.261617073437678e-18,  0.0,  36.096985865724356,  0.0,  18,  7,  0,  0,  0,  0,  0,  0,  -8.881,  59.816,  1343.402,  1.195,  23.561,  1.992,  0.6020599913279624
RYE0, lig_21,  50910145,  8,  2.0,  1.0, 9.5e-08, -7.022276394711152, 7.022276394711152, 2.735,   5,  1.3877787807814457e-16,  4.956352788505163e-18,  0.0,  36.096985865724356,  0.0,  17,  4,  3,  0,  0,  0,  0,  0,  -7.983,  54.236,  1340.27,  0.731,  32.086,  0.915,  0.7781512503836436
AE7Q, lig_22,  50436576,  8,  2.0,  1.0, 1.0000000000000001e-07, -7.0, 7.0, 3.239,   2,  0.9980000000000004,  0.03992000000000002,  0.0,  36.096985865724356,  0.0,  16,  4,  0,  0,  1,  0,  0,  0,  -8.158,  62.185,  1199.964,  1.048,  34.211,  0.0,  0.47712125471966244
NXJG, lig_23,  50077211,  8,  2.0,  1.0, 1.0000000000000001e-07, -7.0, 7.0, 4.603,   11,  -1.0019999999999998,  -0.02385714285714285,  0.0,  36.096985865724356,  0.0,  28,  2,  5,  0,  0,  3,  0,  0,  -8.755,  68.019,  1684.154,  0.925,  61.319,  1.573,  1.0791812460476249
4PDM, lig_24,  50077178,  3,  2.0,  1.0, 1.0000000000000001e-07, -7.0, 7.0, 1.89,   10,  -1.0010000000000003,  -0.02327906976744187,  0.0,  36.096985865724356,  0.0,  29,  3,  5,  0,  0,  0,  0,  0,  -8.247,  90.172,  1888.487,  4.057,  54.052,  1.01,  1.041392685158225
9UL5, lig_25,  184851,  8,  2.0,  1.0, 1.0000000000000001e-07, -7.0, 7.0, 2.887,   7,  1.0000000000000002,  0.03030303030303031,  0.0,  36.096985865724356,  0.0,  19,  6,  1,  0,  0,  0,  0,  0,  -8.287,  71.104,  1400.236,  0.778,  35.633,  1.124,  0.9030899869919435
FNTX, lig_26,  51251870,  8,  2.0,  1.0, 1.1e-07, -6.958607314841775, 6.958607314841775, 2.178,   4,  -5.551115123125783e-17,  -2.05596856412066e-18,  0.0,  36.096985865724356,  0.0,  15,  5,  2,  0,  1,  0,  0,  0,  -7.96,  67.086,  1276.773,  1.807,  31.497,  1.448,  0.6989700043360189
AO15, lig_27,  50077215,  8,  2.0,  1.0, 1.4e-07, -6.853871964321762, 6.853871964321762, 3.608,   10,  -1.0000000000000002,  -0.025000000000000005,  0.0,  36.096985865724356,  0.0,  27,  2,  6,  0,  0,  0,  0,  0,  -8.922,  102.443,  1859.99,  2.877,  55.212,  0.49,  1.041392685158225
Z1RG, lig_28,  50519895,  8,  2.0,  1.0, 1.49e-07, -6.826813731587726, 6.826813731587726, 3.466,   3,  1.999,  0.06448387096774194,  0.0,  36.096985865724356,  0.0,  19,  6,  1,  0,  1,  0,  0,  0,  -8.141,  55.13,  1373.681,  0.471,  10.833,  0.232,  0.6020599913279624
WULW, lig_29,  153791,  8,  2.0,  1.0, 1.49e-07, -6.826813731587726, 6.826813731587726, 3.466,   3,  1.999,  0.06448387096774194,  0.0,  36.096985865724356,  0.0,  19,  6,  1,  0,  1,  0,  0,  0,  -8.141,  55.13,  1373.681,  0.471,  10.833,  0.232,  0.6020599913279624
D2HH, lig_30,  50579843,  8,  2.0,  1.0, 1.5100000000000002e-07, -6.82102305270683, 6.82102305270683, 4.397,   5,  1.0000000000000002,  0.03030303030303031,  0.0,  36.096985865724356,  0.0,  20,  6,  1,  0,  1,  0,  0,  0,  -8.231,  71.666,  1354.115,  0.902,  25.821,  0.963,  0.7781512503836436
L4GD, lig_31,  50579844,  8,  2.0,  1.0, 1.5600000000000002e-07, -6.806875401645538, 6.806875401645538, 2.926,   4,  1.0010000000000001,  0.031281250000000003,  0.0,  36.096985865724356,  0.0,  19,  6,  1,  0,  1,  0,  0,  0,  -8.684,  64.887,  1431.757,  1.1,  17.371,  1.533,  0.6989700043360189
HHTE, lig_32,  50077177,  3,  2.0,  1.0, 1.6e-07, -6.795880017344075, 6.795880017344075, 4.714,   10,  -1.0000000000000002,  -0.02325581395348838,  0.0,  36.096985865724356,  0.0,  30,  3,  5,  0,  0,  0,  0,  0,  -7.897,  73.823,  1621.281,  2.293,  63.157,  0.575,  1.041392685158225
TLTD, lig_33,  50579850,  8,  2.0,  1.0, 1.6800000000000002e-07, -6.774690718274137, 6.774690718274137, 3.373,   4,  1.0,  0.037037037037037035,  0.0,  36.096985865724356,  0.0,  15,  5,  0,  0,  1,  0,  0,  0,  -7.451,  60.306,  1168.098,  1.084,  22.629,  0.939,  0.6989700043360189
PCEL, lig_34,  51041254,  8,  2.0,  1.0, 1.9e-07, -6.721246399047171, 6.721246399047171, 2.589,   5,  1.0009999999999997,  0.03229032258064515,  0.0,  36.096985865724356,  0.0,  21,  1,  5,  0,  0,  0,  0,  0,  -9.082,  59.714,  1455.249,  1.113,  28.984,  1.35,  0.7781512503836436
HHXO, lig_35,  51087231,  8,  2.0,  1.0, 2.0000000000000002e-07, -6.698970004336019, 6.698970004336019, 4.459,   10,  -1.001,  -0.02441463414634146,  0.0,  36.096985865724356,  0.0,  27,  2,  6,  0,  0,  0,  0,  0,  -8.179,  63.754,  1578.616,  1.441,  48.793,  1.941,  1.041392685158225
J38Y, lig_36,  50579849,  8,  2.0,  1.0, 2.39e-07, -6.621602099051862, 6.621602099051862, 3.779,   6,  0.9990000000000001,  0.0333,  0.0,  36.096985865724356,  0.0,  18,  4,  3,  0,  1,  0,  0,  0,  -7.545,  66.675,  1396.562,  0.976,  13.126,  0.931,  0.8450980400142568
2B0U, lig_37,  184852,  8,  2.0,  1.0, 2.5000000000000004e-07, -6.6020599913279625, 6.6020599913279625, 1.583,   9,  1.0010000000000001,  0.031281250000000003,  0.0,  36.096985865724356,  0.0,  19,  6,  1,  0,  0,  0,  0,  0,  -7.895,  67.677,  1377.871,  1.182,  51.413,  1.816,  1.0
91VA, lig_38,  50579852,  8,  2.0,  1.0, 2.51e-07, -6.600326278518962, 6.600326278518962, 3.457,   4,  0.9990000000000001,  0.037000000000000005,  0.0,  36.096985865724356,  0.0,  17,  5,  0,  0,  1,  0,  0,  0,  -7.341,  55.008,  1145.776,  1.021,  16.412,  1.944,  0.6989700043360189
8L3N, lig_39,  50579848,  8,  2.0,  1.0, 2.56e-07, -6.59176003468815, 6.59176003468815, 3.405,   6,  1.0010000000000001,  0.031281250000000003,  0.0,  36.096985865724356,  0.0,  18,  5,  3,  0,  1,  0,  0,  0,  -7.619,  78.992,  1386.936,  2.218,  10.722,  2.398,  0.8450980400142568
FE9R, lig_40,  50579851,  8,  2.0,  1.0, 2.86e-07, -6.543633966870957, 6.543633966870957, 1.894,   4,  1.0,  0.037037037037037035,  0.0,  36.096985865724356,  0.0,  16,  5,  0,  0,  1,  0,  0,  0,  -7.598,  57.579,  1229.423,  0.567,  18.98,  0.688,  0.6989700043360189
FW1G, lig_41,  50579841,  8,  2.0,  1.0, 2.97e-07, -6.527243550682788, 6.527243550682788, 2.196,   4,  1.0010000000000001,  0.028600000000000004,  0.0,  36.096985865724356,  0.0,  21,  7,  1,  0,  1,  0,  0,  0,  -7.817,  59.036,  1382.228,  0.981,  18.791,  0.313,  0.6989700043360189
7YRQ, lig_42,  50077179,  8,  2.0,  1.0, 3.0000000000000004e-07, -6.522878745280337, 6.522878745280337, 4.291,   11,  -0.9999999999999999,  -0.023809523809523808,  0.0,  36.096985865724356,  0.0,  29,  2,  4,  0,  0,  3,  0,  0,  -8.682,  86.53,  1709.885,  1.89,  67.783,  1.011,  1.0791812460476249
88LW, lig_43,  50375321,  8,  2.0,  1.0, 3.4000000000000003e-07, -6.468521082957745, 6.468521082957745, 4.382,   5,  9.020562075079397e-17,  3.3409489166960727e-18,  0.0,  36.096985865724356,  0.0,  18,  3,  1,  0,  2,  0,  0,  0,  -8.126,  68.066,  1225.277,  0.669,  40.973,  0.877,  0.7781512503836436
V4ZN, lig_44,  51476384,  3,  2.0,  1.0, 3.5000000000000004e-07, -6.455931955649724, 6.455931955649724, 1.965,   7,  -0.0039999999999998925,  -0.00010256410256409981,  0.0,  36.096985865724356,  0.0,  25,  6,  3,  0,  0,  0,  0,  0,  -12.297,  119.452,  1986.998,  1.981,  93.234,  0.294,  0.9030899869919435
S5GU, lig_45,  50579965,  8,  2.0,  1.0, 3.9e-07, -6.4089353929735005, 6.4089353929735005, 3.514,   4,  1.0,  0.03125,  0.0,  36.096985865724356,  0.0,  18,  6,  1,  0,  1,  0,  0,  0,  -8.6,  78.615,  1307.888,  1.425,  22.046,  1.869,  0.6989700043360189
05LG, lig_46,  51251922,  8,  2.0,  1.0, 3.96e-07, -6.402304814074488, 6.402304814074488, 2.641,   2,  1.0010000000000001,  0.0526842105263158,  0.0,  36.096985865724356,  0.0,  9,  4,  0,  0,  1,  0,  0,  0,  -5.803,  30.672,  798.166,  0.364,  19.49,  0.785,  0.47712125471966244
D3IR, lig_47,  51251926,  8,  2.0,  1.0, 3.96e-07, -6.402304814074488, 6.402304814074488, 3.414,   4,  0.0009999999999998899,  3.4482758620685855e-05,  0.0,  36.096985865724356,  0.0,  14,  6,  2,  0,  1,  0,  0,  0,  -8.435,  65.416,  1311.989,  1.447,  21.376,  2.296,  0.6989700043360189
STQK, lig_48,  153779,  8,  2.0,  1.0, 4.0300000000000005e-07, -6.394694953858891, 6.394694953858891, 3.354,   5,  1.001,  0.03033333333333333,  0.0,  36.096985865724356,  0.0,  16,  6,  2,  0,  2,  0,  0,  0,  -7.961,  72.263,  1255.241,  1.974,  17.288,  2.904,  0.7781512503836436
